date, value,,,,
39821,8742.46,,,,
39822,8599.18,,,,
39825,8473.97,,,,
39826,8448.56,,,,
39827,8200.14,,,,
39828,8212.49,,,,
39829,8281.22,,,,
39833,7949.09,,,,
39834,8228.1,,,,
39835,8122.8,,,,
39836,8077.56,,,,
39839,8116.03,,,,
39840,8174.73,,,,
39841,8375.45,,,,
39842,8149.01,,,,
39843,8000.86,,,,
39846,7936.75,,,,
39847,8078.36,,,,
39848,7956.66,,,,
39849,8063.07,,,,
39850,8280.59,,,,
39853,8270.87,,,,
39854,7888.88,,,,
39855,7939.53,,,,
39856,7932.76,,,,
39857,7850.41,,,,
39861,7552.6,,,,
39862,7555.63,,,,
39863,7465.95,,,,
39864,7365.67,,,,
39867,7114.78,,,,
39868,7350.94,,,,
39869,7270.89,,,,
39870,7182.08,,,,
39871,7062.93,,,,
39874,6763.29,,,,
39875,6726.02,,,,
39876,6875.84,,,,
39877,6594.44,,,,
39878,6626.94,,,,
39881,6547.05,,,,
39882,6926.49,,,,
39883,6930.4,,,,
39884,7170.06,,,,
39885,7223.98,,,,
39888,7216.97,,,,
39889,7395.7,,,,
39890,7486.58,,,,
39891,7400.8,,,,
39892,7278.38,,,,
39895,7775.86,,,,
39896,7659.97,,,,
39897,7749.81,,,,
39898,7924.56,,,,
39899,7776.18,,,,
39902,7522.02,,,,
39903,7608.92,,,,
39904,7761.6,,,,
39905,7978.08,,,,
39906,8017.59,,,,
39909,7975.85,,,,
39910,7789.56,,,,
39911,7837.11,,,,
39912,8083.38,,,,
39916,8057.81,,,,
39917,7920.18,,,,
39918,8029.62,,,,
39919,8125.43,,,,
39920,8131.33,,,,
39923,7841.73,,,,
39924,7969.56,,,,
39925,7886.57,,,,
39926,7957.06,,,,
39927,8076.29,,,,
39930,8025,,,,
39931,8016.95,,,,
39932,8185.73,,,,
39933,8168.12,,,,
39934,8212.41,,,,
39937,8426.74,,,,
39938,8410.65,,,,
39939,8512.28,,,,
39940,8409.85,,,,
39941,8574.65,,,,
39944,8418.77,,,,
39945,8469.11,,,,
39946,8284.89,,,,
39947,8331.32,,,,
39948,8268.64,,,,
39951,8504.08,,,,
39952,8474.85,,,,
39953,8422.04,,,,
39954,8292.13,,,,
39955,8277.32,,,,
39959,8473.49,,,,
39960,8300.02,,,,
39961,8403.8,,,,
39962,8500.33,,,,
39965,8721.44,,,,
39966,8740.87,,,,
39967,8675.24,,,,
39968,8750.24,,,,
39969,8763.13,,,,
39972,8764.49,,,,
